City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,vilyuysk,63.7553,121.6247,-35.56,100,86,1.34,RU,1706698050
322,fale old settlement,-9.3852,-171.2468,29.14,72,77,3.36,TK,1706698051
323,xilin hot,43.9667,116.0333,-26.92,94,4,1.25,CN,1706698051
324,port mathurin,-19.6833,63.4167,28.04,78,76,8.83,MU,1706697756
325,lebu,-37.6167,-73.65,14.17,84,6,5.14,CL,1706697778
326,mumford,5.2618,-0.759,29.13,66,30,3.92,GH,1706698052
327,verkhniy baskunchak,48.2256,46.7217,0.19,97,57,2.64,RU,1706698052
328,lompoc,34.6391,-120.4579,14.4,87,0,0.89,US,1706698052
329,ouled mimoun,34.9047,-1.0339,9.01,40,49,0.97,DZ,1706698052
330,al ghayzah,16.2079,52.176,27.4,66,61,6.42,YE,1706698052
331,lihue,21.9789,-159.3672,21.58,85,100,3.09,US,1706698053
332,tofol,5.3248,163.0078,28.04,75,100,8.27,FM,1706698053
333,copiapo,-27.3667,-70.3333,14.83,76,0,1.01,CL,1706698053
334,saint john,45.2727,-66.0677,-8.0,85,100,1.03,CA,1706697918
335,darnah,32.767,22.6367,11.3,74,100,13.5,LY,1706698053
336,greymouth,-42.4667,171.2,16.11,86,89,1.25,NZ,1706697751
337,bay harbor,30.1471,-85.6146,13.88,84,86,2.24,US,1706698054
338,lazaro cardenas,17.9583,-102.2,24.59,71,100,1.51,MX,1706698054
339,tindouf,27.6711,-8.1474,15.25,44,0,8.23,DZ,1706698054
340,nallihan,40.1859,31.3518,5.28,43,1,1.23,TR,1706698055
341,inhambane,-23.865,35.3833,28.52,64,21,5.16,MZ,1706697767
342,nizao,18.25,-70.2,23.04,85,16,4.9,DO,1706698055
343,banlung,13.7468,107.0045,26.51,45,39,1.37,KH,1706698055
344,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,70,0,4.0,RU,1706698055
345,amontada,-3.3617,-39.8317,29.43,65,10,2.4,BR,1706698056
346,vilyuchinsk,52.9306,158.4028,-11.71,73,100,3.87,RU,1706697759
347,male,4.1748,73.5089,27.54,75,77,3.62,MV,1706698056
348,kendari,-3.945,122.4989,26.27,88,92,1.4,ID,1706698056
349,ciudad lazaro cardenas,17.9583,-102.2,24.59,71,100,1.51,MX,1706698057
350,misawa,40.6836,141.3597,5.89,87,29,3.11,JP,1706698057
351,senirkent,38.1044,30.5486,6.03,58,59,4.86,TR,1706698057
352,kasongo,-4.45,26.6667,26.44,68,100,0.9,CD,1706698057
353,coahuayana de hidalgo,18.7,-103.6583,23.4,87,100,1.78,MX,1706698058
354,hafar al-batin,28.4328,45.9708,20.32,32,0,2.06,SA,1706698058
355,togur,58.3631,82.8265,-13.26,95,100,3.49,RU,1706698058
356,fuyuan,46.4333,127.0833,-27.83,99,81,2.22,CN,1706698058
357,broome,42.2506,-75.833,-0.26,92,100,0.0,US,1706698058
358,coquimbo,-29.9533,-71.3436,16.85,94,100,1.54,CL,1706698059
359,pandan,14.0453,124.1694,25.17,82,100,6.02,PH,1706698059
360,aksu,41.1231,80.2644,0.15,63,100,1.96,CN,1706698059
361,nogliki,51.8333,143.1667,-24.25,98,51,2.24,RU,1706697856
362,cole harbour,44.6724,-63.4751,-7.29,84,48,4.02,CA,1706698060
363,vanino,49.0869,140.2543,-15.6,92,99,1.39,RU,1706698060
